ds,y
2018/3/27 7:00,2697984.9
2018/3/27 8:00,2288279.667
2018/3/27 9:00,1841223.033
2018/3/27 10:00,3223565.25
2018/3/27 11:00,3587504.067
2018/3/27 12:00,3321810.767
2018/3/27 13:00,3092917.183
2018/3/27 14:00,2430755.603
2018/3/27 15:00,5055191.944
2018/3/27 16:00,4148441.643
2018/3/27 17:00,5470019.207
2018/3/27 18:00,4140958.7
2018/3/27 19:00,3732311.6
2018/3/27 20:00,4790665.089
2018/3/27 21:00,3082667.8
2018/3/27 22:00,3392037.717
2018/3/27 23:00,2953004.25
2018/3/28 0:00,4320186.552
2018/3/28 1:00,5280077.6
2018/3/28 2:00,5255376.5
2018/3/28 3:00,4483145.151
2018/3/28 4:00,4433316.267
2018/3/28 5:00,3118935.45
2018/3/28 6:00,2559548.567
2018/3/28 7:00,4164472.169
2018/3/28 8:00,3499939.833
2018/3/28 9:00,3928810.417
2018/3/28 10:00,5864796.04
2018/3/28 11:00,4935612.964
2018/3/28 12:00,4598462.882
2018/3/28 13:00,4853397.965
2018/3/28 14:00,4740722.929
2018/3/28 15:00,4800687.898
2018/3/28 16:00,5259695.867
2018/3/28 17:00,4848863.946
2018/3/28 18:00,4602080.712
2018/3/28 19:00,4347041.475
2018/3/28 20:00,4545407.789
2018/3/28 21:00,3761819.5
2018/3/28 22:00,5046787.923
2018/3/28 23:00,4721372.424
2018/3/29 0:00,4575855.6
2018/3/29 1:00,4076791.525
2018/3/29 2:00,5277964.532
2018/3/29 3:00,4039241.458
2018/3/29 4:00,4436533.512
2018/3/29 5:00,3098191.317
2018/3/29 6:00,3857445.5
2018/3/29 7:00,2730663.05
2018/3/29 8:00,3836346.517
2018/3/29 9:00,5219513.788
2018/3/29 10:00,3669851.966
2018/3/29 11:00,4203516.474
2018/3/29 12:00,5024243.528
2018/3/29 13:00,4549187.882
2018/3/29 14:00,5703527.962
2018/3/29 15:00,4881490.821
2018/3/29 16:00,4466771.25
2018/3/29 17:00,3830359.39
2018/3/29 18:00,5129335.518
2018/3/29 19:00,4628392.3
2018/3/29 20:00,2385938.143
2018/3/29 21:00,4016432.429
2018/3/29 22:00,2992538.583
2018/3/29 23:00,3270115.883
2018/3/30 0:00,3137099.65
2018/3/30 1:00,2340629.433
2018/3/30 2:00,3406136.067
2018/3/30 3:00,3654166.35
2018/3/30 4:00,3160553.817
2018/3/30 5:00,3264621.35
2018/3/30 6:00,3756263.683
2018/3/30 7:00,3210605.983
2018/3/30 8:00,2464074.533
2018/3/30 9:00,3337291.517
2018/3/30 10:00,2484499.133
2018/3/30 11:00,3821424.7
2018/3/30 12:00,4161958.6
2018/3/30 13:00,2852225.683
2018/3/30 14:00,2995583
2018/3/30 15:00,2311540.733
2018/3/30 16:00,3098845.433
2018/3/30 17:00,2099242.533
2018/3/30 18:00,4380810.944
2018/3/30 19:00,4768904.741
2018/3/30 20:00,4840876.86
2018/3/30 21:00,3975277.763
2018/3/30 22:00,4888147.744
2018/3/30 23:00,4096737.02
2018/3/31 0:00,3001180.407
2018/3/31 1:00,3324682.967
2018/3/31 2:00,4134327
2018/3/31 3:00,4339206.983
2018/3/31 4:00,4736081.983
2018/3/31 5:00,5256683.914
2018/3/31 6:00,3424809.317
2018/3/31 7:00,2952671.75
2018/3/31 8:00,3204903.083
2018/3/31 9:00,4409272.283
2018/3/31 10:00,4120746.083
2018/3/31 11:00,4226682.418
2018/3/31 12:00,5445766.091
2018/3/31 13:00,5468998.345
2018/3/31 14:00,4000475.867
2018/3/31 15:00,4595123.22
2018/3/31 16:00,4855311.653
2018/3/31 17:00,3414568.85
2018/3/31 18:00,5713797.919
2018/3/31 19:00,4715997.893
2018/3/31 20:00,3046286.233
2018/3/31 21:00,3472509.596
2018/3/31 22:00,4959340.927
2018/3/31 23:00,4966960.286
2018/4/1 0:00,3787997.55
2018/4/1 1:00,4086948.3
2018/4/1 2:00,5942315.682
2018/4/1 3:00,4307483.22
2018/4/1 4:00,3255497.917
2018/4/1 5:00,2343583.15
2018/4/1 6:00,2032799.617
